date,date_id,year,month,day,weekday
2023-03-08,20230308,2023,3,8,Wednesday
2023-03-25,20230325,2023,3,25,Saturday
2023-03-30,20230330,2023,3,30,Thursday
2023-04-01,20230401,2023,4,1,Saturday
2023-04-02,20230402,2023,4,2,Sunday
2023-04-03,20230403,2023,4,3,Monday
2023-04-04,20230404,2023,4,4,Tuesday
2023-04-05,20230405,2023,4,5,Wednesday
2023-04-06,20230406,2023,4,6,Thursday
2023-04-07,20230407,2023,4,7,Friday
2023-04-08,20230408,2023,4,8,Saturday
2023-04-09,20230409,2023,4,9,Sunday
2023-04-10,20230410,2023,4,10,Monday
2023-04-11,20230411,2023,4,11,Tuesday
